Authors	Code	Title	Year	Method	Decision	Source title	Abstract	DOI	Link
Claudy M.C.; Peterson M.	CP_2014	Understanding the underutilization of urban bicycle commuting: A behavioral reasoning perspective	2014	Field Survey	Yes	Journal of Public Policy and Marketing	In an effort to make urban transportation more sustainable, policy makers and social marketers have turned increased attention to bicycling. The authors apply behavioral reasoning theory to investigate consumers' mental processing of bicycle commuting to better understand why such an active mode of transportation is underutilized in many urban areas. Using a large-scale sample of commuters in Dublin, Ireland, the study offers insights into the psychological antecedents of bicycling adoption. The structural equation modeling results confirm the main premise of behavioral reasoning theory, in that reasons serve as important linkages between people's values and their attitudes and behavior. In particular, the findings suggest that commuters have reasons not to engage in bicycling (e.g., inconvenience, perceived danger), which account for most of the variance in bicycle-commuting behavior. The findings challenge interventions that emphasize the role of information campaigns and one-time infrastructural changes in encouraging voluntary change in travel behavior. Instead, the findings suggest that transportation planners and social marketers would be better off addressing consumers' reasons for and against bicycling through community-based initiatives. © 2014, American Marketing Association.	10.1509/jppm.13.087	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919399410&doi=10.1509%2fjppm.13.087&partnerID=40&md5=6e820c2bd520e65b6d7d8fb37b9ac670
Cornelissen G.; Pandelaere M.; Warlop L.; Dewitte S.	CPWD_2008	Positive cueing: Promoting sustainable consumer behavior by cueing common environmental behaviors as environmental	2008	Experiments	Yes	International Journal of Research in Marketing	People frequently fail to see themselves as environmentally conscious consumers; one reason for this is that they are oftentimes prone to dismissing their more common ecological behaviors (e.g., avoid littering) as non-diagnostic for that particular self-image. The cueing of commonly performed ecological behaviors as environmentally friendly (what we call positive cueing) renders both cued and non-cued common ecological behaviors more diagnostic for the inference of pro-environmental attitudes (Study 1). As a result, positive cueing increases the likelihood that people will see themselves as consumers who are concerned with the degree to which their behavior is environmentally responsible (Study 2). The cueing of common ecological behaviors leads participants to choose environmentally friendly products with greater frequency, and even to use scrap paper more efficiently (Study 3). We discuss the implications for effective social marketing campaigns. © 2007 Elsevier B.V. All rights reserved.	10.1016/j.ijresmar.2007.06.002	https://www.scopus.com/inward/record.uri?eid=2-s2.0-39249083436&doi=10.1016%2fj.ijresmar.2007.06.002&partnerID=40&md5=9b0189ed1d8b1733e4b0ef77653e2314
Collins C.M.; Steg L.; Koning M.A.S.	CSK_2007	Customers' values, beliefs on sustainable corporate performance, and buying behavior	2007	Survey	Yes	Psychology and Marketing	Sustainable corporate performance (SCP) requires balancing a corporation's economic, social, and environmental performance. This research explores values, beliefs about the importance of SCP, and buying behaviors of supermarket customers from within a stake-holder framework. Beliefs about the importance of SCP (both social and environmental, but not economic) were found to be related to values. Also, it was found that customers' environmentally responsible buying behaviors were related to their beliefs about the importance of environmental SCP. However their socially responsible buying was not related to their beliefs about the importance of social SCP. Responsible buying behavior may be facilitated by providing reliable information about environmental and social aspects of products. Marketing professionals have a central role to play in moving towards a greater level of corporate transparency and sustainability. © 2007 Wiley Periodicals, Inc.	10.1002/mar.20173	https://www.scopus.com/inward/record.uri?eid=2-s2.0-34347235510&doi=10.1002%2fmar.20173&partnerID=40&md5=94c6a4f152d1215ef8a66057a86ee67a
Casidy R.; Yan L.	CY_2022	The effects of supplier B2B sustainability positioning on buyer performance: The role of trust	2022	Field Survey	Yes	Industrial Marketing Management	Sustainability positioning is essential for firms that operate in highly competitive environments, as businesses are increasingly being evaluated in terms of their sustainable practices. Drawing upon social exchange theory, this study examines the role of trust as an underlying mechanism through which supplier B2B sustainability positioning influences buyer performance. A survey of 389 Australian B2B executives reveals the critical role of relational and competency trust in mediating the relationship between B2B sustainability positioning and buyer performance. However, industry-relevant factors such as transactional uncertainty and competitive intensity influence the mediating effects of trust in opposite directions. Specifically, competency trust has stronger mediating effects on buyer performance when there is lower transactional uncertainty and greater competitiveness. On the other hand, relational trust has stronger mediating effects on buyer performance when there is greater transactional uncertainty. The findings provide useful insights for firms wishing to leverage their sustainable image in order to appeal to prospective buyers. © 2022 Elsevier Inc.	10.1016/j.indmarman.2022.02.005	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124471321&doi=10.1016%2fj.indmarman.2022.02.005&partnerID=40&md5=3157b5a65341735cc4eb3f90d295fe0d
Dixon D.; Mikolon S.	DM_2021	Cents of self: How and when self-signals influence consumer value derived from choices of green products	2021	Experiments	Yes	International Journal of Research in Marketing	Consumers choosing between green and conventional products often believe such choices imply trade-off decisions, such that green products provide morally-related advantages but embody price or quality-related disadvantages compared to standard products. We study the consequences of such trade-offs for consumer value in the context of privately consumed green products. To develop our theoretical model, we draw from the perspective of self-signaling – consumers' act of signaling information about their internal qualities to their own self through choice. We explore how and when self-signals from such trade-off decisions influence consumer value gained from comparative choices of green versus standard products. Six studies were conducted, using divergent measures of the dependent variable, multiple product categories, and measured as well as manipulated self-concept clarity (SCC). We find a joint effect of self-signals from comparative choices and self-concept clarity on consumer value, such that positive self-signals lead to incrementally higher satisfaction and willingness to pay for consumers with low SCC but not significantly so for those with high SCC. Results show that this joint effect may occur for consumers with low SCC because they gain incremental value from perceived self-concept alignment – a state that is construed from the perception that a self-signal is aligned with the consumer's self-concept. This study contributes to marketing research by proposing and testing a novel mechanism that can underlie self-signaling. © 2020 Elsevier B.V.	10.1016/j.ijresmar.2020.08.002	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092238597&doi=10.1016%2fj.ijresmar.2020.08.002&partnerID=40&md5=165532ed8bfb401dfba17b5fa636d18b
Friske W.; Hoelscher S.A.; Nikolov A.N.	FHN_2023	The impact of voluntary sustainability reporting on firm value: Insights from signaling theory	2023	Field Survey	Yes	Journal of the Academy of Marketing Science	The purpose of this study is to examine the relationship between voluntary sustainability reporting and firm value, as measured by Tobin’s q. We test three main hypotheses developed from signaling theory and the sustainability reporting literature on a large panel of reporting and non-reporting organizations for the period 2011–2020. The results of a fixed effects panel model suggest that, in general, sustainability reporting is negatively related to Tobin’s q. However, the results also indicate that the relationship between sustainability reporting and Tobin’s q becomes increasingly positive over time. Our conclusion is that sustainability reporting is initially a costly signal, but that it eventually enhances firm value as companies learn how to better communicate sustainability initiatives to stakeholders and investors learn how to properly evaluate reports. Finally, in an analysis of sustainability reporting organizations, we find that external assurance is positively associated with Tobin’s q. External audits appear to increase the credibility of reports. Implications for marketing theory and practice are discussed. © 2022, Academy of Marketing Science.	10.1007/s11747-022-00879-2	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132112389&doi=10.1007%2fs11747-022-00879-2&partnerID=40&md5=f95a8f56558c5718ee07e67db347ecd9
Garvey A.M.; Bolton L.E.	GB_2017	Eco-product choice cuts both ways: How proenvironmental licensing versus reinforcement is contingent on environmental consciousness	2017	Experiments	Yes	Journal of Public Policy and Marketing	This research identifies how choice of an eco-product (e.g., low-energy LED light bulbs, biodegradable paper towels) influences downstream, environmentally responsible behavior. Eco-product choice either reinforces or undermines subsequent environmentally responsible behavior, and this effect is contingent on individual consumers' preexisting environmental consciousness: among less environmentally conscious consumers, proenvironmental behavior is undermined; in contrast, highly environmentally conscious consumers display reinforcement of proenvironmental behavior. The authors reveal that these differential effects are driven by two discrete processes working in opposition: goal satiation drives licensing in the case of less environmentally conscious consumers, and prosocial self-perceptions drive reinforcement among highly conscious consumers. In addition, the authors identify a point-of-purchase intervention that mitigates the detrimental effects among less environmentally conscious consumers. Together, these results shed light on the downstream consequences of eco-product choice for consumers, with implications for the marketing and regulation of such products. © 2017, American Marketing Association.	10.1509/jppm.16.096	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85038836809&doi=10.1509%2fjppm.16.096&partnerID=40&md5=ff3554731eedd267ef2cbbd31dd4ec2a
Giebelhausen M.; Chun H.H.; Cronin J.J., Jr.; Hult G.T.M.	GCCH_2016	Adjusting the warm-glow thermostat: How incentivizing participation in voluntary green programs moderates their impact on service satisfaction	2016	Experiments	Yes	Journal of Marketing	In Study 1, the authors find that people are more satisfied with a service experience when they choose to participate in the provider's voluntary green program (e.g., recycling)-an effect mediated by the "warm glow" of participation. The downside, however, is that this same mechanism decreases satisfaction among people who choose not to participate. In Study 2, analysis of data from the J.D. PowerGuest Satisfaction Index suggests that incentivizing the program (i.e., compensating the program participants) paradoxically increases satisfaction for those who do not participate but decreases satisfaction among those who do. Studies 3 and 4 explore how manipulating incentive characteristics might enable managers to maximize satisfaction for both groups. Study 3 indicates that, compared with no incentive, an "other-benefiting" incentive increases warm glow and satisfaction for green program participants but decreases them among nonparticipants. Study 4, however, suggests that mixed incentive bundles (i.e., providing both self-benefiting and other-benefiting options)maximize warm glow and satisfaction for both groups-the ideal outcome for managers. © 2016, American Marketing Association.	10.1509/jm.14.0497	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978036844&doi=10.1509%2fjm.14.0497&partnerID=40&md5=e73a18511ccae69b10c7c93881b8545d
van Herpen E.; van Nierop E.; Sloot L.	HNS_2012	The relationship between in-store marketing and observed sales for organic versus fair trade products	2012	Field Survey	Yes	Marketing Letters	To stimulate sales of sustainable products, such as organic and fair trade products, retailers need to know whether their in-store instruments effectively enhance market shares. This study uses sales data and a multilevel modeling approach to explain the market shares of sustainable products according to shelf layout factors, price level, price promotions, and consumer demographics. It argues that the effect of these variables differs between organic versus fair trade products, as buying motives might differ, organic buyers tend to be more loyal, and price is a more informative signal of quality for organic products. Results show that the number of facings has a positive relationship with the market share of fair trade brands, but not with the market share of organic brands. The same holds for the price difference with the leading brand, which is important for fair trade brands but not for organic brands. In contrast, an arrangement of the product category by brand is associated with higher market share for organic brands but not for fair trade brands. Additionally, placement at eye level and clustering of items benefits both types of sustainable brands, whereas they appear to be not very sensitive to price promotions. Finally, higher sales of sustainable products are found in areas where the customer base is older and has a higher education level. © 2011 The Author(s).	10.1007/s11002-011-9154-1	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84857632884&doi=10.1007%2fs11002-011-9154-1&partnerID=40&md5=6d18e810880c431303caebfab3d4e889
Harries T.; Rettie R.; Studley M.; Burchell K.; Chambers S.	HRSBC_2013	Is social norms marketing effective?: A case study in domestic electricity consumption	2013	Natural Experiment	Yes	European Journal of Marketing	Purpose: The purpose of this paper is to present details of a large-scale experiment that evaluated the impact of communicating two types of feedback to householders regarding their domestic electricity consumption: feedback on their own consumption and feedback of both their own consumption and that of others in their locality. Design/methodology/approach: Digital technologies were used to automatically measure and communicate the electricity consumption of 316 UK residents for a period of 16 weeks. Participants were randomly assigned to one of three experimental conditions: one involving no feedback; one involving feedback about a household's own usage, and one involving a household's own usage plus social norms feedback (the average consumption of others in the locality). At the end of the study, a selection of participants took part in interviews or focus groups. Findings: Both types of feedback (individual and individual-plus-social-norms) led to reductions in consumption of about 3 per cent. Those receiving social norms feedback were significantly more likely to engage with the information provided. However, the social norms information had no additional impact on consumption. Survey and interview data confirmed that participants from both conditions had been encouraged to adopt new energy-saving practices. The study concludes that near real-time individual feedback can be sufficient for usage reduction if it is provided in a historical format. It also suggests that the impact of social norms information may previously have been confounded with that of individual feedback. Originality/value: This is the first time that a controlled experiment in the field of domestic electricity consumption has compared the impact of real-time social norm information with that of information that only contains individual household usage. © Emerald Group Publishing Limited.	10.1108/EJM-10-2011-0568	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84883681030&doi=10.1108%2fEJM-10-2011-0568&partnerID=40&md5=dc7ea11202d1c667674d6e77f25fc7a2
Hinsch C.; Tang Y.; Lund D.J.	HTL_2021	Compulsion and reactance: Why do some green consumers fail to follow through with planned environmental behaviors?	2021	Survey	Yes	Psychology and Marketing	Some green consumers fail to follow through with planned environmental behaviors (EB), despite claiming intent to do so. The current research draws on reactance theory to shed light on this paradox at the intersection of environmentalism, sustainability, and green marketing. Historically, individuals have been conceptualized dichotomously as either pro or antienvironmental. Mann questions this simplistic perspective and introduces the “Wizard” and “Prophet” as environmentalist archetypes. Wizards and Prophets both engage in EB, but Wizards perceive science and technology as potential solutions, whereas Prophets believe consumption reduction is the only answer. Building upon self-discrepancy theory and using both qualitative and quantitative data, we find support for Mann's thesis that both environmentalist archetypes exist, and both have inclinations toward EB. Furthermore, these archetypes differ in how they respond to marketing messages or other external stimuli. Whereas Prophets are stimulated and increase EB when compelled to, Wizards react negatively resulting in decreased environmental behavior. Psychological reactance moderates the mediated effect of compulsion by magnifying the effect of this path. We propose that higher levels of reactance increase the positive impact of compulsion on Prophets while amplifying the negative effect of compulsion for Wizards. Exposing Wizards to marketing communications compelling environmentalism suppresses their EB. © 2021 Wiley Periodicals LLC	10.1002/mar.21570	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112062835&doi=10.1002%2fmar.21570&partnerID=40&md5=46bb70328b866b27a65578d76d5abca8
Haws K.L.; Winterich K.P.; Naylor R.W.	HWN_2014	Seeing the world through GREEN-tinted glasses: Green consumption values and responses to environmentally friendly products	2014	Experiments	Yes	Journal of Consumer Psychology	The primary goal of this research is to conceptualize and develop a scale of green consumption values, which we define as the tendency to express the value of environmental protection through one's purchases and consumption behaviors. Across six studies, we demonstrate that the six-item measure we develop (i.e., the GREEN scale) can be used to capture green consumption values in a reliable, valid, and parsimonious manner. We further theorize and empirically demonstrate that green consumption values are part of a larger nomological network associated with conservation of not just environmental resources but also personal financial and physical resources. Finally, we demonstrate that the GREEN scale predicts consumer preference for environmentally friendly products. In doing so, we demonstrate that stronger green consumption values increase preference for environmentally friendly products through more favorable evaluations of the non-environmental attributes of these products. These results have important implications for consumer responses to the growing number of environmentally friendly products. © 2013 Society for Consumer Psychology.	10.1016/j.jcps.2013.11.002	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84903216367&doi=10.1016%2fj.jcps.2013.11.002&partnerID=40&md5=23e3c866eec52161f0879008d729a4b9
Jain S.; Basu S.; Dwivedi Y.K.	JBD_2024	Green brand identity and B2B channel partners' tactical green marketing orientation: Moderating effect of brand governance	2024	Mixed Methods	Yes	Industrial Marketing Management	Even though environmental values and sustainable branding have garnered much attention in the B2C context, B2B contexts remain relatively less explored. This study introduces a novel synthesis of Signaling theory and Stewardship theory and examines the moderating impact of brand governance on the relationship between green brand identity, consistent communication and channel partner commitment, leading to tactical green marketing orientation. Distinguishing itself from previous research, our approach embraces a multi-perspective lens, delving into the viewpoints of both channel partners and organizations (i.e., managers). Employing an explanatory sequential mixed method design, the first phase involved an empirical survey with 248 respondents (Study 1). Subsequently, the second phase (Study 2) comprised qualitative interviews with 41 respondents. The findings from both studies converged, revealing a positive association between “consistent communication” and “attitude,” a robust connection between “attitude” and “commitment,” and a favorable correlation between “green brand identity” and “attitude,” ultimately leading to a positive relationship between “attitude” and “green tactical marketing orientation". This research significantly contributes to the comprehension of B2B green brand positioning by demonstrating, that in the B2B context, brand governance influences channel partners' commitment and tactical green marketing orientation. © 2024 Elsevier Inc.	10.1016/j.indmarman.2024.04.013	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192064548&doi=10.1016%2fj.indmarman.2024.04.013&partnerID=40&md5=89d481f6efe8678a46b4515549a879d4
