Authors	Code	Title	Method	Decision	Year	Abstract	Source title	DOI	Overlap	Term	Link
Balabanis G.; Stathopoulou A.; Chen X.	BSC_2024	A cross-cultural examination of sustainable luxury consumption: a comparative study of social norms, self-control and future orientation in the UK and China	Experimental	Yes	2024	Purpose: The study addresses gaps in sustainable luxury consumption research by analyzing the role of social norms in different cultural settings. It investigates how social norms, self-control, conspicuousness and future orientation shape sustainable luxury consumption in individualistic (UK) versus collectivist (China) national cultures. Design/methodology/approach: The study was based on survey data from British and Chinese luxury product consumers collected through online panels. The final sample included 452 valid responses from the UK and 414 from China. Hypotheses were tested using structural equation modeling. Findings: The study found that descriptive norms positively influence sustainable luxury consumption in individualistic (UK) and collectivist (China) cultures. Injunctive norms affect sustainable consumption only in the UK. Future consequences universally impact sustainable consumption. Conspicuous consumption negatively affects preferences for sustainable luxury brands. Self-control enhances the impact of descriptive norms in the UK but reduces the impact of injunctive norms in China. Originality/value: This study uniquely explores how social norms and cultural influences impact sustainable luxury consumption in individualistic and collectivistic societies. It highlights the moderating role of national culture, providing actionable insights for luxury brands to enhance sustainable consumption with culturally tailored strategies. The research challenges the universality of the theory of normative social behavior, advocating for its refined application across different cultures. © 2024, Emerald Publishing Limited.	International Marketing Review	10.1108/IMR-01-2024-0009	No	Sustainab*	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201674659&doi=10.1108%2fIMR-01-2024-0009&partnerID=40&md5=b818f787d7a71d2d6342df80b1837f33
Cervellon M.-C.; Carey L.I.	CC_2014	Sustainable, hedonic and efficient: Interaction effects between product properties and consumer reviews on post-experience responses	Experiments	Yes	2014	Purpose - This paper aims to investigate the influence of consumer reviews on the evaluation, post-experience, of products with a combination of sustainable, hedonic and utilitarian properties. Design/methodology/approach - In the first instance, consumer reviews for organic and non-organic cosmetics posted on the French Web site beauté-test.com were analyzed. Second, a full-factorial two product types (organic and non-organic) x three reviews (positive, negative and no reviews) experiment was conducted. Sixty French women tested a beauty product and evaluated it on hedonic and utilitarian (ambiguous and non-ambiguous) properties. In a second experiment, 132 English-speaking students evaluated an herbal tea at home, along a full-factorial two product types (fair-trade and non-fair-trade) x three product properties (hedonic, utilitarian ambiguous and utilitarian non-ambiguous) x two reviews (negative review and no review) between-subject design. Findings - First, consumers are significantly less influenced by reviews for hedonic products compared to utilitarian products. In particular, they rely on reviews when evaluating utilitarian ambiguous properties (e.g. anti-aging properties) which they find difficult to judge on their own. Second, consumers are more resistant to the persuasive effect of reviews when the product focus is on sustainable (organic or fair-trade) credentials, in particular when judging ambiguous properties. Originality/value - This paper explores a topic neglected in the literature so far: the moderating role of product properties and sustainability, in particular, on consumers’ responses to persuasion and consumer reviews in the context of this paper. Its originality lies in the demonstration that consumers learn through product testing for hedonic and utilitarian unambiguous product properties and through consumer reviews for utilitarian ambiguous product properties. Additionally, it highlights the resistance of sustainable products (organic and fair-trade in this research) to negative product reviews. © Emerald Group Publishing Limited.	European Journal of Marketing	10.1108/EJM-07-2012-0392	No	Sustainab*	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928158520&doi=10.1108%2fEJM-07-2012-0392&partnerID=40&md5=881f7687a302acd335bb3f1397430927
Casalegno C.; Candelo E.; Santoro G.	CCS_2022	Exploring the antecedents of green and sustainable purchase behaviour: A comparison among different generations	Survey	Yes	2022	This paper investigates whether generation matters in the intention to buy green and sustainable products and, simultaneously, examines the antecedents of green and sustainable buying behaviour among three different generational cohorts (X, Y, and Z). By doing this, the present paper fills the gap regarding studies addressing the relationships between age and sustainable behaviour which have not included actual green and sustainable buying intention, along with the gap regarding studies only focussing on one or two (X and Y) generational cohorts. Drawing on the generational cohort theory, and by using a survey approach involving three samples of specific generations (X, Y, and Z), as well as by testing several hypotheses through ordinary least squares regression models, the paper finds that: (a) age plays a key role in the choice of green and socially friendly products, and (b) environmental concern and perceived consumer effectiveness are strong antecedents of green and sustainable purchase behaviour for all generational cohorts. This is also true for environmental citizenship, but this only applies to generations Y and Z. Finally, collectivism is only an antecedent of sustainable purchase behaviour for generation Z. © 2022 Wiley Periodicals LLC.	Psychology and Marketing	10.1002/mar.21637	No	Sustainab*	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122392793&doi=10.1002%2fmar.21637&partnerID=40&md5=1b9a2136fbc7cf37c5f7608fc57a29db
Cooremans K.; Geuens M.	CG_2019	Same but Different: Using Anthropomorphism in the Battle Against Food Waste	Experiments	Yes	2019	Food waste is a major threat to global sustainability. Much of it is caused by the aesthetic requirements imposed by retailers, which assume that consumers are not interested in buying misshapen produce unless it is accompanied by significant price discounts. This article proposes an alternative way to market such produce. A pilot study confirms consumers’ aversion to misshapen produce and identifies inferior taste perceptions as its dominant driver. Three studies then show that using anthropomorphism (i.e., attributing human characteristics to nonhuman objects) can increase purchase intentions for misshapen produce. Specifically, displaying misshapen produce with a smiling face and presenting shape abnormalities as body parts in point-of-purchase stimuli trigger positive affective reactions. These affective reactions enhance taste perceptions, thereby leading to higher purchase intentions and food choice. In addition, this research tests environmental concern as a moderator and measures actual behaviors in a grocery shopping context. The findings suggest an intervention that could be more effective than current public campaigns in the effort to curb waste along the entire food chain. © American Marketing Association 2019.	Journal of Public Policy and Marketing	10.1177/0743915619827941	No	Sustainab*	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068332776&doi=10.1177%2f0743915619827941&partnerID=40&md5=373e3c35148e4599f079c03b74da0baf
Cuesta-Valiño P.; Gutiérrez-Rodríguez P.; García-Henche B.; Núñez-Barriopedro E.	CGGN_2024	The impact of corporate social responsibility on consumer brand engagement and purchase intention at fashion retailers	Mixed Methods	Yes	2024	Consumers have demonstrated new ways of engaging with fashion retailers and experiencing their brand values. This research aims to understand better how fashion consumers form their purchase intentions, by exploring how their expectations about corporate social responsibility influence consumer brand engagement and purchase intention. The research comprises two studies, using different methodologies. The first study is quantitative; it involved 1296 individuals and the results were analyzed using structural equation modeling. The second study is qualitative and utilizes expert opinions from the fashion industry; it seeks to derive managerial and practical implications from the findings of the first study. The results show that corporate social responsibility influences the purchase intention of fashion consumers, but mainly through brand engagement. Consequently, fashion companies should focus on building consumer trust in the sustainability initiatives of brands, including by utilizing local suppliers. © 2023 The Authors. Psychology & Marketing published by Wiley Periodicals LLC.	Psychology and Marketing	10.1002/mar.21940	No	Sustainab*	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85177874397&doi=10.1002%2fmar.21940&partnerID=40&md5=4a8620f3d6412c3dda22943933218a49
Carter K.; Jayachandran S.; Murdock M.R.	CJM_2021	Building A Sustainable Shelf: The Role of Firm Sustainability Reputation	Experiments	Yes	2021	The reputation of firms for being environmentally friendly and socially responsible is a key purchase driver for sustainable products. However, the commitment of firms to sustainability varies – some firms are founded on strong environmental and social principles; other more traditional firms are built on strong product/brand focus and are not known for sustainability. In response to market trends, many traditional firms are introducing sustainable products to their portfolios. We argue that the firm's sustainability reputation (FSR) will influence consumer purchase with respect to equally sustainable products from different firms. Two choice studies demonstrate that FSR favors sustainable product choice when the consumer decides between equally sustainable products. However, FSR affects the choice only for sustainable products and not regular products and does so only for consumers that construe sustainability at a high (abstract) level. Retailers should pay attention to the role that FSR plays in consumer response when they select sustainable products to sell. © 2021 New York University	Journal of Retailing	10.1016/j.jretai.2021.03.003	No	Sustainab*	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116718810&doi=10.1016%2fj.jretai.2021.03.003&partnerID=40&md5=4e6554e8f71cb15eb30a3a290a08ad33
Casidy R.; Lie D.S.	CL_2023	The effects of B2B sustainable brand positioning on relationship outcomes	Field Survey	Yes	2023	The global pandemic and the economic consequences that follow have impelled B2B firms to revisit their positioning strategy so as to emphasize sustainability. However, it is still unclear whether B2B firms would benefit from positioning themselves as sustainable organizations. Drawing upon social exchange theory, this study examines the role of commitment as the underlying mechanism whereby B2B sustainable brand positioning influences relationship outcomes. A study involving senior managers of Australian B2B firms revealed the critical role of calculative and affective commitment in mediating the relationship between B2B sustainable brand positioning on willingness-to-pay premium price (WTP) and switching intention. However, buyer-supplier value congruence influences the effects of sustainable brand positioning on calculative and affective commitment in the opposite direction. Specifically, value congruence positively moderates the effects of sustainable brand positioning on calculative commitment, but negatively moderates the effects of sustainable brand positioning on affective commitment. The findings provide empirical evidence supporting the benefits that B2B firms can obtain by adopting sustainable brand positioning. © 2023 Elsevier Inc.	Industrial Marketing Management	10.1016/j.indmarman.2023.02.006	No	Sustainab*	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148358031&doi=10.1016%2fj.indmarman.2023.02.006&partnerID=40&md5=907009f973d89fcecc26338fb201561b
Cakanlar A.; Nikolova H.; Nenkov G.Y.	CNN_2023	I Will Be Green for Us: When Consumers Compensate for Their Partners’ Unsustainable Behavior	Experiments	Yes	2023	In the context of romantic relationships, partners regularly observe each other's unsustainable behavior. But how do these unsustainable behaviors influence each member of the couple? This research shows that how consumers respond to their partners’ unsustainable behaviors depends on the amount of relationship power they possess: high-relationship-power individuals compensate for their partners’ unsustainable behavior by acting in a more sustainable manner relative to their baseline tendencies, but low-relationship-power individuals do not increase their own sustainable behavior. This effect occurs because high-relationship-power partners feel more responsible for the reconstruction of the couple identity after it has been damaged by their partner's unsustainable choice; as a result, they have a stronger desire to signal a positive couple identity (i.e., a positive couple sustainable identity). Consistent with this theory, this effect is attenuated for high-relationship-power individuals who have weak green identities. Seven studies provide evidence for these findings by measuring and manipulating relationship power and assessing hypothetical and actual sustainable behaviors. This research contributes to the sustainable behavior literature and highlights effective ways to promote sustainable behavior in households. © The Author(s) 2022.	Journal of Marketing Research	10.1177/00222437221108891	No	Sustainab*	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139418192&doi=10.1177%2f00222437221108891&partnerID=40&md5=0583062dff2b74ce0ca7eac6b3ce84a9
Cherrier H.; Türe M.	CT_2023	Tensions in the Enactment of Neoliberal Consumer Responsibilization for Waste	Field Survey	Yes	2023	Research has explored consumer responsibilization processes, yet there is a lack of understanding about the tensions that consumers might experience when enacting their responsibility. Using a large data set collected in France around waste responsibilization, we demonstrate how waste pathways can generate spatiotemporal, guidance, and destructiveness tensions in households. Consumers respond to such tensions by keeping waste at home, which allows them to suspend, clarify, or reappropriate their waste responsibility. In delineating the waste responsibility tensions, our study reveals the boundaries of neoliberal governance’s success in mobilizing entrepreneurial consumers’ actions, namely, community structure/shared vision, emotions, and market demand. These boundaries illustrate the challenges for neoliberal governance in providing and maintaining for consumers an illusion of control through the crafting of heightened uncertainty, abstraction, and risk–benefit categorizations. This study has implications for waste management actors, as well as consumer researchers interested in neoliberal governance, consumer responsibilization, consumer activism, sustainability, and waste disposal. © The Author(s) 2022. Published by Oxford University Press on behalf of Journal of Consumer Research, Inc. All rights reserved.	Journal of Consumer Research	10.1093/jcr/ucac037	No	Sustainab*	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160621973&doi=10.1093%2fjcr%2fucac037&partnerID=40&md5=b405c734133deffa0bf89734438fb29b
Catlin J.R.; Wang Y.	CW_2013	Recycling gone bad: When the option to recycle increases resource consumption	Experiments	Yes	2013	In this study, we propose that the ability to recycle may lead to increased resource usage compared to when a recycling option is not available. Supporting this hypothesis, our first experiment shows that consumers used more paper while evaluating a pair of scissors when the option to recycle was provided (vs. not provided). In a follow-up field experiment, we find that the per person restroom paper hand towel usage increased after the introduction of a recycling bin compared to when a recycling option was not available. We conclude by discussing implications for research and policy. © 2012 Society for Consumer Psychology.	Journal of Consumer Psychology	10.1016/j.jcps.2012.04.001	No	Sustainab*	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871017285&doi=10.1016%2fj.jcps.2012.04.001&partnerID=40&md5=c27e954c24a3d7977550e665edd0f9f0
Dai J.; Chan H.K.; Yee R.W.Y.	DCY_2018	Examining moderating effect of organizational culture on the relationship between market pressure and corporate environmental strategy	Field Survey	Yes	2018	This study investigates how market pressures (i.e., customer pressure and competitor pressure) motivate firms to develop a proactive environmental strategy and how such effects are moderated by a flexibility-control orientation, which is one common representation of organizational culture. The results of a survey including 250 Chinese manufacturing firms suggest that customer and competitor pressures have direct effects on environmental strategy proactivity. In addition, flexibility and control orientations play different roles in the relationships between these two market pressures and firms’ environmental strategy proactivity. Implications and suggestions for future research are provided for environmental sustainability. © 2018 Elsevier Inc.	Industrial Marketing Management	10.1016/j.indmarman.2018.05.003	No	Sustainab*	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047492951&doi=10.1016%2fj.indmarman.2018.05.003&partnerID=40&md5=ab5c2b2aa0af4eae2b57ab5ee483daa9
Das G.; Peloza J.; Varshneya G.; Green T.	DPVG_2021	When do consumers value ethical attributes? The role of perceived quality in gift-giving	Experiments	Yes	2021	Purpose: Although research demonstrates the importance of ethical product attributes for consumers, a prior study has not examined the role of consumption target (i.e. self-purchases vs gift-giving) on consumers’ preference for products with ethical attributes. Notably, consumers’ preference for quality can differ between self-purchases and gifts, and the presence of ethical attributes can impact product quality perceptions. The purpose of this paper is to examine how the presence of ethical attributes alters decision-making in a gift-giving context using perceptions of product quality as an explanatory variable for these differences. Design/methodology/approach: One field study and two controlled experiments test the proposed hypotheses. The experiments were conducted across different product categories and samples. Findings: Results showed that the presence of an ethical attribute leads to higher purchase intentions for products in a gift-giving context compared to self-purchase. Perceived quality mediates this effect. Further process evidence through moderation, including resource synergy beliefs, support the findings. This paper discusses the theoretical, managerial and societal implications of these results. Research limitations/implications: Although care was taken to select products to enhance generalizability, the studies presented here are limited to two products. Further, although the present research includes a field study with actual charity-related purchases, the role of time pressures is not explicitly explored. Finally, the role of brand-self connections is not explored in the current research. The ability for a donor to integrate the mission of a charity into their self-perception or the potential for social normative influences to impact behaviors remains open for exploration. Practical implications: Charities are facing increasing pressures to raise sustainable funds to support their missions. The research provides guidance to marketers and fundraisers in the non-profit sector that allows them to direct more focused fundraising appeals to donors and adapt their fundraising efforts to create a fit between their audience and fundraising appeals. Originality/value: This research demonstrates that consumption target (purchasing for the self versus purchasing for others) is a vital contextual factor that influences customer preference for ethical attributes. These results complement the extant literature by exploring the underlying mechanism behind consumers’ responses to the ethical attributes in the case of self-purchase and other-purchase. The underlying effect is supported theoretically by resource synergy beliefs. © 2020, Emerald Publishing Limited.	European Journal of Marketing	10.1108/EJM-02-2019-0202	No	Sustainab*	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091323164&doi=10.1108%2fEJM-02-2019-0202&partnerID=40&md5=817b3a1302d71a1c0aa410147fa9e2c7
