Authors,In Graph Label,Code,Title,Year,Source title,Volume,Issue,Page start,Page end,Page count,Cited by,Link,Abstract,Inclusion?,Author Keywords,Column1
Gollnhofer J.F.| Weijo H.A.| Schouten J.W.,Gollnhoger| Weijo & Schouten (2019),GWS_19,Consumer Movements and Value Regimes: Fighting Food Waste in Germany by Building Alternative Object Pathways,2019,Journal of Consumer Research,46,3,460,482,22,38,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074298282&doi=10.1093%2fjcr%2fucz004&partnerID=40&md5=4528994a4473537df8059d462fac21d5,Consumer movements strive to change markets when those markets produce value outcomes that conflict with consumers' higher-order values. Prior studies argue that consumer movements primarily seek to challenge these value outcomes by championing alternative higher-order values or by pressuring institutions to change market governance mechanisms. Building on and refining theorization on value regimes| this study illuminates a new type of consumer movement strategy where consumers collaborate to construct alternative object pathways. The study draws from ethnographic fieldwork in the German retail food sector and shows how building alternative object pathways allowed a consumer movement to mitigate the value regime's excessive production of food waste. The revised value regime theorization offers a new and more holistic way of understanding and contextualizing how and where consumer movements mobilize for change. It also provides a new tool for understanding systemic value creation and the role of consumers in such processes. © 2019 The Author(s) 2019. Published by Oxford University Press on behalf of Journal of Consumer Research| Inc. All rights reserved. For permissions| please e-mail: journals.permissions@oup.com.,1,consumer movements; food waste; object pathways; sustainability; systemic value creation; value regimes,
Hensen N.| Keeling D.I.| de Ruyter K.| Wetzels M.| de Jong A.,Hensen| Keeling| de Ruyter| Wetzels & de Jong (2016),HKRWJ_16,Making SENS: exploring the antecedents and impact of store environmental stewardship climate,2016,Journal of the Academy of Marketing Science,44,4,497,515,18,7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84931078979&doi=10.1007%2fs11747-015-0446-5&partnerID=40&md5=4fa7ee4e083bb4ef058f51dc10914e9f,Retailers increasingly recognize that environmental responsibility is a strategic imperative. However| little research has investigated or identified the factors that facilitate the successful implementation of environmentally responsible strategies across a network of customer-facing sales units (stores). We propose that a store manager’s ability to lead by example facilitates this process by fostering a supportive climate for store environmental stewardship (SENS-climate). By examining the influence of store managers’ actions on sales associates’ perceptions of the SENS-climate| as well as the subsequent impact on their performance—measured by margins| as well as sales of green and regular products—this study demonstrates that store managers can foster a SENS-climate by articulating their prioritization of environmental responsibility in their operational decisions. These positive effects are sustained by relational factors| such as the moderating effect of the store manager–sales associate dyadic tenure. In contrast| when store managers display high variability in their environmental orientation| it hinders the development of SENS-climate perceptions among sales associates. If sales associates perceive an enabling SENS-climate| they achieve higher margins and more green but fewer regular sales. © 2015| The Author(s).,1,Articulation; Environmental stewardship; Green products; Responsibility; Store climate; Sustainability,
He C.| Ozturk O.C.| Gu C.| Silva-Risso J.M.,He| Ozturk| Gu & Silva-Risso (2021),HOGS_21,The end of the express road for hybrid vehicles: Can governments’ green product incentives backfire?,2021,Marketing Science,40,1,80,100,20,3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100600585&doi=10.1287%2fmksc.2020.1239&partnerID=40&md5=a201a8aa948eed0692f21bdb09c5844b,In response to growing environmental concerns| governments have promoted products that are less harmful to the environment—green products—through various incentives. We empirically study the impact of a commonly used nonmonetary incentive— namely| the single-occupancy permission to high-occupancy vehicle (HOV) lanes—on green and non-green product demand in the U.S. automobile industry. The HOV incentive could increase unit sales of green vehicles by enhancing their functional value through time saving. On the other hand| the incentive may prove counterproductive if it reduces the symbolic value (i.e.| signaling a proenvironmental image) consumers derive from green vehicles. Assessing the effectiveness of green-product incentives is challenging| given the endogenous nature of governments’ incentive provisions. To identify the effect of the HOV incentive on unit sales of green and non-green vehicles| we take advantage of HOV-incentive changes in two states| and we employ a multitude of quasi-experimental methods using a data set at the county–model–month level. Unlike previous studies that only examine the launch of the HOV incentive and find an insignificant association be-tween incentive launch and green-vehicle demand| we concentrate on its termination. We find that the termination of the HOV incentive decreases unit sales of vehicles covered by the incentive by 14.4%. We provide suggestive evidence that this significant negative effect of HOV-incentive termination is due to the elimination of the functional value the incentive provides: time saving. Specifically| we find that the negative effect is more pronounced in counties where consumers value time saving more (i.e.| counties with a longer commute to work and higher income). Additionally| in line with prior literature| the launch of the HOV incentive is not found to have a significant effect on green-vehicle sales. Combined| our findings reveal that the effect of termination is not simply the opposite of that of launch| implying that governments’ green-product incentives could backfire. © 2020 INFORMS.,1,Climate change; Coarsened exact matching; Difference-in-differences; Government incentives; Green products; Policy evaluation; Public policy; Quasi-experiments; Sustainability; Technology adoption,
Haws K.L.| Winterich K.P.| Naylor R.W.,Haws| Winterich & Naylor (2014),HWN_14,Seeing the world through GREEN-tinted glasses: Green consumption values and responses to environmentally friendly products,2014,Journal of Consumer Psychology,24,3,336,354,18,348,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84903216367&doi=10.1016%2fj.jcps.2013.11.002&partnerID=40&md5=23e3c866eec52161f0879008d729a4b9,The primary goal of this research is to conceptualize and develop a scale of green consumption values| which we define as the tendency to express the value of environmental protection through one's purchases and consumption behaviors. Across six studies| we demonstrate that the six-item measure we develop (i.e.| the GREEN scale) can be used to capture green consumption values in a reliable| valid| and parsimonious manner. We further theorize and empirically demonstrate that green consumption values are part of a larger nomological network associated with conservation of not just environmental resources but also personal financial and physical resources. Finally| we demonstrate that the GREEN scale predicts consumer preference for environmentally friendly products. In doing so| we demonstrate that stronger green consumption values increase preference for environmentally friendly products through more favorable evaluations of the non-environmental attributes of these products. These results have important implications for consumer responses to the growing number of environmentally friendly products. © 2013 Society for Consumer Psychology.,1,Environmental marketing; Green marketing; Motivated reasoning; Scale development; Sustainability,
Iyer G.| Soberman D.A.,Iyer & Soberman (2016),IS_16,Social responsibility and product innovation,2016,Marketing Science,35,5,727,742,15,44,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988683726&doi=10.1287%2fmksc.2015.0975&partnerID=40&md5=da47fdbb8106fc88fe0b242fdb256e23,This paper examines the incentives of firms to invest in socially responsible product innovations. Our analysis connects the existence of socially responsible innovations to the presence of intrinsic and extrinsic social responsibility preferences. In addition to deriving economic value from the product| consumers have heterogeneous intrinsic needs to consume products that are socially responsible. They also have extrinsic social comparison preferences that are based on their meetings with others in social interactions. The frequency of these meetings are endogenous to the consumption choices of consumers. A consumer enjoys a social comparison benefit if her consumption decision is more socially responsible than the consumer that she meets in a social interaction and a social comparison cost if it is less socially responsible. The analysis reveals a nonmonotonic effect of social comparison effects on innovation incentives. When the economic value of a product is relatively small| the incentive to innovate decreases as social comparison effects increase. By contrast| when the economic value of a product is sufficiently large| increases in social comparison effects increase the incentive to innovate. Social comparison benefits and costs have different effects on competition between firms. In particular| social comparison benefits soften price competition| whereas social comparison costs tend to exacerbate price competition. We also identify market conditions where a monopoly invests more or less compared to a firm facing competition. © 2016 INFORMS.,1,Altruism; Competitive strategy; Innovation; R&D strategy; Social comparison; Social responsibility; Sustainability,
Karmarkar U.R.| Bollinger B.,Karmakar & Bollinger (2015),KB_15,BYOB: How bringing your own shopping bags leads to treating yourself and the environment,2015,Journal of Marketing,79,4,1,15,14,66,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937554414&doi=10.1509%2fjm.13.0228&partnerID=40&md5=66877ee277b6c773c1faf4d399d2533d,As concerns about pollution and climate change become more mainstream| the belief that shopping with reusable grocery bags is an important environmental and socially conscious choice has gained prevalence. In parallel| firms have joined policy makers in using a variety of initiatives to reduce the use of disposable plastic bags. However| little is known about how these initiatives might alter other elements of consumers' in-store behavior. Using scanner panel data from a single California location of a major grocery chain| and controlling for consumer heterogeneity| the authors demonstrate that bringing one's own bags increases purchases of not only environmentally friendly organic foods but also indulgent foods. They use experimental methods to further explore the expression of these effects and to consider the effects of potential moderators| including competing goals and store policies. The findings have implications for decisions related to product pricing| placement and assortment| store layout| and the choice of strategies employed to increase the use of reusable bags. © 2015| American Marketing Association.,1,Green marketing; Licensing; Mixed methods; Priming; Sustainability,
Kidwell B.| Farmer A.| Hardesty D.M.,Kidwell| Farmer & Hardesty (2013),KFH_13,Getting liberals and conservatives to go green: Political ideology and congruent appeals,2013,Journal of Consumer Research,40,2,350,367,17,210,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880111859&doi=10.1086%2f670610&partnerID=40&md5=79362050845a68c3a03aa16a8e4d6414,The authors develop a conceptual model of how the congruence of political ideology and persuasive appeals enhances sustainable behaviors. In study 1| persuasive appeals consistent with individualizing and binding moral foundations were developed to enhance liberal and conservative recycling. In study 2| individualizing and binding appeals were tested on actual recycling behavior using a longitudinal field study to demonstrate the effectiveness of messages congruent with the moral foundations of liberals and conservatives. Study 3 demonstrated that enhanced fluency represents the underlying psychological process that mediates the relationship between message congruence and intentions. Moreover| study 3 established that spillover effects resulting from increased intentions to engage in sustainable disposition behavior enhance intentions to engage in sustainable acquisition and consumption behaviors. Finally| study 4 ruled out potential message confounds to demonstrate the robustness of the findings. Practical implications for marketers and public policy officials interested in increasing sustainable behaviors are offered. © 2013 by JOURNAL OF CONSUMER RESEARCH| Inc.,1,,
Katsikeas C.S.| Leonidou C.N.| Zeriti A.,Katsikeas| Leonidou & Zeriti (2016),KLZ_16,Eco-friendly product development strategy: antecedents| outcomes| and contingent effects,2016,Journal of the Academy of Marketing Science,44,6,660,684,24,79,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84953449466&doi=10.1007%2fs11747-015-0470-5&partnerID=40&md5=ff2d78a0118b92d89d4498b58b2cb7df,Integrating sustainability aspects into product development has long been recognized as a strategic priority for practitioners. Yet the literature reports mixed results on the product development effectiveness outcomes of sustainable product development strategies| while scant research has investigated how companies integrate environmental aspects into product development. This study develops a model that integrates effectiveness-enhancing outcomes and organizational inputs of eco-friendly product development strategies. Using questionnaire responses from firms from multiple industries| supplemented with lagged primary product development performance data| we find that top management commitment and corporate environmental support policies can facilitate eco-friendly product development strategies| while environmental performance incentives do not. In turn| the adoption of such strategies has a positive effect on firms’ product development effectiveness. This effect weakens when business conditions are highly complex but tends to become stronger with increasing levels of munificence in the business environment. These findings have important implications for practitioners and researchers that are discussed. © 2016| The Author(s).,1,Business environment; Green; Innovation; Performance; Product development; Sustainability; Top management commitment,
Leonidou C.N.| Katsikeas C.S.| Morgan N.A.,Leonidou| Katsikeas & Morgan (2013),LKM_13,"""Greening"" the marketing mix: Do firms do it and does it pay off?",2013,Journal of the Academy of Marketing Science,41,2,151,170,19,229,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874148541&doi=10.1007%2fs11747-012-0317-2&partnerID=40&md5=e97b0b4e9c897f9f17ffffb77d7e337b,"Growing concern about the sustainability of the natural environment is rapidly transforming the competitive landscape and forcing companies to explore the costs and benefits of ""greening"" their marketing mix. We develop and test a theoretical model that predicts (1) the role of green marketing programs in influencing firm performance| (2) the impact of slack resources and top management risk aversion on the deployment of such programs| and (3) the conditioning effects that underpin these relationships. Our analyses show that green marketing programs are being implemented by firms| and we find evidence of significant performance payoffs. Specifically the results indicate that green product and distribution programs positively affect firms' product-market performance| while green pricing and promotion practices are directly positively related to firms' return on assets. In addition| industry-level environmental reputation moderates the links between green marketing program components and firms' product-market and financial performance. Finally| we find that slack resources and top management risk aversion are independently conducive to the adoption of green marketing programs-but operate as substitutes for each other. © 2012 Academy of Marketing Science.",1,Competitive intensity; Firm performance; Green marketing; Industry reputation; Risk aversion; Slack resources; Stakeholder theory,
Luchs M.G.| Naylor R.W.| Irwin J.R.| Raghunathan R.,Luchs| Naylor| Irwin & Ragunahtan (2010),LNIR_10,The sustainability liability: Potential negative effects of ethicality on product preference,2010,Journal of Marketing,74,5,18,31,13,569,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77956708677&doi=10.1509%2fjmkg.74.5.18&partnerID=40&md5=d16d359c33d96c4546e6514d72f6b37d,"Manufacturers are increasingly producing and promoting sustainable products (i.e.| products that have a positive social and/or environmental impact). However| relatively little is known about how product sustainability affects consumers' preferences. The authors propose that sustainability may not always be an asset| even if most consumers care about social and environmental issues. The degree to which sustainability enhances preference depends on the type of benefit consumers most value for the product category in question. In this research| the authors demonstrate that consumers associate higher product ethicality with gentleness-related attributes and lower product ethicality with strength-related attributes. As a consequence of these associations| the positive effect of product sustainability on consumer preferences is reduced when strength-related attributes are valued| sometimes even resulting in preferences for less sustainable product alternatives (i.e.| the ""sustainability liability""). Conversely| when gentleness-related attributes are valued| sustainability enhances preference. In addition| the authors show that the potential negative impact of sustainability on product preferences can be attenuated using explicit cues about product strength. © 2010| American Marketing Association.",1,Corporate social responsibility; Ethical products; Green marketing; Implicit associations; Sustainability,
Mookerjee S.| Cornil Y.| Hoegg J.,Mookerjee| Cornil & Hoegg (2021),MCH_21,From Waste to Taste: How “Ugly” Labels Can Increase Purchase of Unattractive Produce,2021,Journal of Marketing,85,3,62,77,15,15,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104425291&doi=10.1177%2f0022242920988656&partnerID=40&md5=82ae8bfc4fc18b8b3cef238e697c88aa,Food producers and retailers throw away large amounts of perfectly edible produce that fails to meet appearance standards| contributing to the environmental issue of food waste. The authors examine why consumers discard aesthetically unattractive produce| and they test a low-cost| easy-to-implement solution: emphasizing the produce’s aesthetic flaw through “ugly” labeling (e.g.| labeling cucumbers with cosmetic defects “Ugly Cucumbers” on store displays or advertising). Seven experiments| including two conducted in the field| demonstrate that “ugly” labeling corrects for consumers’ biased expectations regarding key attributes of unattractive produce—particularly tastiness—and thus increases purchase likelihood. “Ugly” labeling is most effective when associated with moderate (rather than steep) price discounts. Against managers’ intuition| it is also more effective than alternative labeling that does not exclusively point out the aesthetic flaw| such as “imperfect” labeling. This research provides clear managerial recommendations on the labeling and the pricing of unattractive produce while addressing the issue of food waste. © The Author(s) 2021.,1,aesthetics; debiasing; food waste; labeling; sustainability; ugliness penalty,
Nickerson D.| Lowe M.| Pattabhiramaiah A.| Sorescu A.,Nickerson| Lowe| Pattabhiramaiah & Sorescu (2022),NLPS_22,The Impact of Corporate Social Responsibility on Brand Sales: An Accountability Perspective,2022,Journal of Marketing,86,2,5,28,23,6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118953170&doi=10.1177%2f00222429211044155&partnerID=40&md5=40babe03ba29e4ea6abc0312082a326e,Consumers are increasingly mindful of corporate social responsibility (CSR) when making purchase and consumption decisions| but evidence of the impact of CSR initiatives on actual purchase decisions is lacking. This article introduces a novel brand accountability–based framework of consumer response to CSR initiatives| which categorizes CSR efforts as “corrective|” “compensating|” or “cultivating goodwill.” Leveraging a database of CSR press releases by leading consumer packaged goods brands| the authors examine the effect of the different types of CSR announcements on brand sales. The findings suggest that CSR initiatives that genuinely aim to reduce a brand's negative externalities (“corrective” and “compensating”) lift sales| whereas CSR actions focused on philanthropy (“cultivating goodwill”) can hurt sales. The authors propose two moderators—CSR reputation and CSR focus on environmental or social causes—and a mechanism for these effects| which they examine under controlled experimental settings. The experimental results show that| conditional on CSR reputation| consumers perceive varying degrees of sincerity in the different CSR types and that sincerity mediates the effect of CSR type on purchase intentions. Overall| the results suggest that consumers are more inclined to reward firms that directly reduce the negative by-products of their own business practices than to be impressed by public goodwill gestures. © American Marketing Association 2021.,1,brand sincerity; corporate social responsibility; CSR reputation; environmental initiatives; social initiatives; sustainability,
